source	target	mor
E2F4	E2F1	5.02476329101629
E2F4	CCNE1	4.88317908912383
E2F4	CDK1	5.00018657812457
E2F4	CDKN1A	5.00537786098167
E2F4	DHFR	4.99643826719854
E2F4	MYC	5.11023687067859
E2F4	FSHR	4.99506310477467
E2F4	MCL1	4.99542908692936
E2F4	PPARG	5.05896340469751
E2F4	TERT	4.84690238392089
E2F4	STMN1	5.02775923384263
E2F4	CCNB2	4.92548124971723
E2F4	ESR1	5.13438350342127
E2F4	TP73	4.88763135169274
E2F4	FGFR2	4.69761729225929
E2F4	PLK1	4.98545437949697
E2F4	CCNA2	4.87117393872986
E2F4	FGFR1	5.08266171197576
E2F4	CCNB1	5.16756787899576
E2F4	DIRAS3	4.94575187068247
E2F4	CDCA7	4.92531797584388
E2F4	RB1	5.12333082613499
E2F4	BRCA1	4.91643657473474
E2F4	RAD51	4.93899390950231
E2F4	MAT2A	4.92910591045777
E2F4	DTL	4.97185873374783
E2F4	FBXO5	5.00001437180694
E2F4	BIRC5	4.95970666816078
E2F4	XPC	4.85047770815429
E2F4	ZNF350	5.15532747558453
E2F4	PPARGC1A	5.08712703213517
E2F4	CDKN1B	4.69825089470249
E2F4	TBX2	5.10370750092307
E2F4	KIFBP	4.99452662686759
E2F4	LTBP4	4.77523318251407
E2F4	PLK4	4.98239231697153
E2F4	MYBL2	4.8058864228922
E2F4	CCND1	5.13922839435196
E2F4	CDC25A	4.95286358343931
E2F4	CDC6	5.06583317402803
E2F4	CDC25C	4.99558802752426
E2F4	CYP27B1	4.95191326795513
E2F4	DDX11	5.07289200669312
E2F4	DHPS	5.04748940818235
E2F4	EPAS1	5.13042228247739
E2F4	FANCD2	5.18173367797285
E2F4	GTF2H4	4.99349535772536
E2F4	MAP3K5	5.14454936931059
E2F4	MFAP1	4.97845740128896
E2F4	MT1G	5.01759190090356
EHF	MMP1	5.07057029025182
EHF	SPRR1B	5.04484402784571
EHF	HLA-DRB1	5.20848095101744
EHF	MAPK1	5.04124111554493
EHF	CDKN2A	4.86096669974403
EHF	LYZ	5.01234519954305
EHF	CASP3	5.04987559726482
EHF	COL2A1	4.90512846477908
EHF	IL1B	4.88076183816672
EHF	RUVBL1	4.90805018997595
EHF	DCDC2	5.09869338089683
EHF	TNFRSF10B	4.99616489848697
EHF	IL6	5.03432581998824
FOXD3	SPP1	5.12426887506362
FOXD3	FOXA1	5.08944407361629
FOXD3	FOXA2	5.35638803471525
FOXD3	POU5F1	4.91476451170466
FOXD3	ZNF175	5.23291616264336
FOXD3	MITF	4.94815095447126
FOXD3	CAPN6	5.12457963033725
FOXD3	RND3	5.13086988999733
FOXD3	NDRG1	5.04386073612253
FOXD3	CYFIP2	4.9224664071069
FOXD3	RARB	5.20980898688281
FOXD3	IL10	4.99122198885024
FOXD3	NODAL	4.9941838092272
FOXD3	CNBP	4.97907351425773
FOXD3	NANOG	5.0055667974368
MAML2	NOTCH1	4.93960313741901
MAML2	HES1	5.24648060356778
NR2E3	RLBP1	5.04981988447777
NR2E3	CRX	5.02238275267293
NR2E3	NRL	4.90090071401765
NR2E3	HLA-E	5.19036104200684
NR2E3	PRPH2	4.91399393464482
NR2E3	PIAS3	4.87301520436086
NR2E3	RHO	5.06421112520353
NR2E3	NUPR1	5.08394043544069
NR2E3	RARRES2	5.091730118397
NR2E3	RCVRN	4.95909543570595
NR2E3	RGR	4.95954053463856
NR2E3	OTX2	5.07159252206206
NR2E3	TP53	4.85206163581477
NR2E3	ESR1	4.99907626947061
NR2E3	RS1	5.14566870006914
PARP14	PARP9	5.25446958942776
PBX2	UGT2B17	5.05298004197144
PBX2	EPHA8	5.08957159555388
PBX2	CCL2	5.12544678332274
PBX2	ALDH1A2	5.03171014345678
PBX2	RHOA	4.96860510615536
PBX2	EMX2	4.87995637936553
PBX2	FMO3	4.98072898279093
PBX2	MEIS1	4.85688259223699
PBX2	PF4	5.10249591281328
PBX2	VCP	5.02899588506427
PBX2	FGF8	5.09671096209895
TCF23	TCF3	4.73328818329491
TCF23	MYOD1	5.26936827048793
TLE4	CDKN1B	4.89243750912887
TRIB3	ATF4	4.7901274166354
TRIB3	SMAD3	4.83943421181444
ZNF20	ABCC3	5.01697816230194
ZNF20	MMP23B	5.06797819170453
ZNF20	SLC39A10	4.86704637521999
