source	target	mor
BATF	IL17A	5.13889430605033
BATF	SNCA	5.05856104559964
BATF	STAT3	4.9903502332577
BATF	SIRT1	4.89016682637187
BATF	CD8A	4.90970933962791
BATF	CCR9	4.81624649824914
BATF	IGBP1	4.92504653883229
BATF	RARA	4.89772796187838
BATF	SLC11A1	4.91548534152589
BATF	CD2	5.02525994241726
BATF	IL10	5.23668352686071
BATF	IL23A	5.18241534054991
BATF	IL21	4.98769339707769
BATF	MAF	4.95506683205535
BATF	IL4	5.0443456219832
BATF	IRF4	4.86939660856139
HDAC7	ACTN4	5.04205964097749
HDAC7	AKAP12	4.98603318818406
HDAC7	CDKN1A	4.89508979860662
HDAC7	CYP7A1	5.06393326254688
HDAC7	ESR1	5.03262363802336
HDAC7	HDC	5.04202647367272
HDAC7	HIF1A	4.87773581684247
HDAC7	MAML1	4.99360658331188
HDAC7	MEF2A	5.05435171659471
HDAC7	MEF2C	5.13881172078805
HDAC7	MEF2D	5.11788854668699
HDAC7	MMP10	5.11566287992544
HDAC7	NR4A1	5.00503399300203
HNF4G	GHR	5.03758719048982
HNF4G	HAS2	4.93803762915474
HNF4G	AKR1C4	5.17950150491478
HNF4G	AFP	4.99091929363841
HNF4G	CYP2D6	4.97429640081512
HNF4G	AGT	5.00139495641275
HNF4G	HNF1A	4.95440635519894
HNF4G	APOC3	4.9688289299832
HNF4G	HSD17B7	5.21489361717369
HNF4G	APOA4	4.99194568427337
HNF4G	SHBG	5.23729820577042
HOXA3	MMP14	4.99712753101001
HOXA3	GATA2	4.9784031498995
LYAR	IRF3	4.93554511570814
MSGN1	WNT3A	4.91454831955028
NCOA1	PRL	4.9069837164916
NCOA1	MSH6	5.01893086449766
NCOA1	PSMD4	4.97519136143445
NCOA1	CREBBP	4.90921662632585
NCOA1	NRIP1	4.96002213675093
NCOA1	SFTPB	4.84641115373834
NCOA1	ERBB2	5.16886525488341
NCOA1	KAT2B	4.82135255067113
NCOA1	C3	5.02273851354506
NCOA1	CXCL8	5.19754411080665
NCOA1	TNF	5.03463319980074
NCOA1	ESR1	4.96780014975146
NCOA1	IFNG	5.0757832124106
NCOA1	CSN2	4.89798717029445
NCOA1	ESR2	4.9581683605859
NCOA1	ABCA1	5.03413080920215
NCOA1	CARM1	5.15431233133214
NCOA1	EP300	4.95512155993821
NCOA1	RRP8	4.88627686203432
NCOA1	CYP7A1	4.80419237902729
NCOA1	NR4A1	4.91989025922523
NCOA1	SELE	5.13054930733978
NCOA1	SERPINE1	4.94768746907595
NCOA1	KLK3	5.09295181146898
NCOA1	SMARCC1	5.03096832194026
NCOA1	FLII	5.00818346877563
NCOA1	NR3C1	5.11569361239972
NCOA1	POLR2F	4.94083486562992
NCOA1	PPM1D	5.02311504806655
NCOA1	CYP3A4	4.96117867987402
NCOA1	GTF2B	5.0530394760933
NCOA1	CYP2C9	4.92694160881369
NCOA1	CYP2B6	4.8216936027419
NCOA1	APOC3	4.92767037751288
NCOA1	PPARGC1A	4.9774378343313
NCOA1	SCNN1A	5.10623256422915
NCOA1	BGLAP	4.9576386723961
NCOA1	DIO1	4.91016191112335
NCOA1	LEP	4.97862319322295
NCOA1	KLRC3	5.15604299647872
NCOA1	SRC	5.06338761580669
NCOA1	AGT	4.94473630448279
NCOA1	IL6	4.95399203038225
NCOA1	MAPK1	4.78310509531742
NCOA1	CRH	5.01172513677496
NCOA1	CYP11A1	4.93208567083447
NCOA1	HSD3B2	5.05363300777007
NCOA1	ADIPOQ	4.82610541893009
NCOA1	NR5A2	5.09548356968731
NCOA1	CYP4F12	4.91092588117851
NEUROD4	VIPR1	4.88318422216982
NEUROD4	FGFR1	5.18467647909244
NEUROD4	KRT9	5.01187518643881
NEUROD4	ME3	5.02365903900705
NME2	MYC	4.9982623668717
SIX4	ATP1A1	4.8787371986522
SIX4	HMGCR	4.75032923763127
SIX4	UBA52	4.99096927024503
SIX4	MYOD1	4.90423293612706
SIX4	PAX3	5.0366289543412
SIX4	GDNF	4.92186363966276
SIX4	SCX	5.03284060019325
SIX4	MYF6	4.96348216021942
SP100	MMP1	4.89728121256188
SP100	PLAU	5.00390633629702
SP100	ETS1	4.92348139509762
SP5	CDKN1A	4.94135526794493
SP5	WNT2	4.95912117993188
TAF4	ATF7	5.03982449137786
TAF4	CDKN1A	5.07166494165106
TBX4	GNG3	4.79852865441304
TBX4	PPIG	5.02577415498523
TBX4	UGT1A1	5.09676217354456
TBX4	FGF10	4.90583908517639
TRIM8	JUN	4.88020320114654
VAX1	PAX6	4.99212376271083
