source	target	mor
ARID5A	ESR1	4.9489289598855
ARID5A	SRSF2	5.04179090481901
ARID5A	COL2A1	5.01704780855337
ARID5A	MBP	5.09593826205736
CARF	CREBBP	4.88907082678005
CARF	BDNF	5.02080314119302
CARF	CDKN2AIP	4.97467420998528
EBF3	CDKN1A	4.91964038574351
EBF3	ACKR3	5.09055040648787
EBF3	HMGN3	5.07939532077322
EBF3	IGF1	4.87000705957304
EBF3	LGI1	4.99917260401944
EBF3	LMO3	4.87720762600949
EBF3	PLPP1	4.7812815529799
EBF3	SLC12A5	5.14133725686617
EBF3	SLIT2	4.86712214345002
ETV7	ETS1	5.12412212610922
ETV7	ETS2	5.09821076844913
ETV7	ETV6	5.01350936160084
ETV7	MMP9	5.00255571648717
ETV7	MMP1	4.91512001656774
ETV7	MMP3	4.89133183500154
ETV7	MMP2	5.12800646724755
ETV7	CYP24A1	4.77405521182943
ETV7	RARA	5.0082388431052
ETV7	MGAT5	5.06548984253211
ETV7	TFEC	5.06495591100682
ETV7	PRL	5.06462158346539
ETV7	PIM3	5.22942467173679
ETV7	BMP6	4.88833544636526
KAT6A	CCL3	5.02691638892975
KAT6A	RARB	5.15557855503045
KAT6A	CREBBP	4.99520878918031
KAT6A	CXCL8	4.92897147388096
KAT6A	CD34	5.21045577869114
KAT6A	KMT2A	5.16851783139064
KAT6A	SMARCA2	5.07056114137873
KAT6A	HOXA9	4.93085108034179
KAT6A	BRPF1	5.05658598945771
KAT6A	RUNX2	5.04365830241726
KAT6A	RUNX1	5.02945181026013
KAT6A	GSTP1	5.14936383221483
PAX2	EN2	4.99998503541665
PAX2	GCG	5.11503857320249
PAX2	GDNF	5.10253102525614
PAX2	ROBO3	4.84894772600976
PAX2	PAX6	5.0094293404864
PAX2	MITF	5.00127403841429
PAX2	WNT4	4.989944472844
PAX2	NPHS1	5.03979116106973
PAX2	NAIP	5.02586788322738
PAX2	RET	5.01496756522979
PAX2	GBX2	5.02375538186409
PAX2	ERBB2	5.07768634836025
PAX2	WNT5A	5.0061936323615
PAX2	DEFB1	4.93880658689163
PAX2	WT1	4.91033211913723
PAX2	ADAM10	4.95996560364195
PAX2	L1CAM	5.094011452395
PAX2	NCAM1	4.85541267356413
PAX2	TP53	4.93204087988877
PAX2	PAX5	4.91814510488864
PAX2	IL5	5.02826381215452
PAX2	SIX1	5.17524357782044
PAX2	WNT1	5.15075868936666
PAX2	PLAAT4	5.05561292521387
PAX2	PAX8	5.11574083074954
SIM1	EPO	5.06424341738263
SIM1	AHR	4.96263209475231
SIM1	ARNT2	5.08545930782906
SIM1	OXT	4.9309374356971
TAF4	ATF7	5.10718141005323
TAF4	CDKN1A	4.97489122918104
TBX18	DKK1	4.95145431803437
TBX18	DPPA4	4.9485024275386
TBX18	LEFTY2	5.02597347512603
TBX18	THY1	4.99796233932432
TBX18	DLL1	5.11313441656206
TBX18	NPPA	4.92281512509996
TBX18	TBX6	5.01244381691319
TBX18	CDKN2A	5.15406109652657
TBX18	DISC1	5.03531420397217
TBX18	GNA11	5.08341905084513
TBX18	SLIT1	5.14949269978171
TBX18	GJA1	5.09022137498862
TBX18	SNAI2	4.81699962399252
ZBTB12	THEG	4.9595861915193
ZBTB12	FN1	4.85636463805973
ZBTB8B	CDKN1A	5.03668795242487
ZNF395	TP53	5.06769547909594
ZNF395	PRF1	5.07907273309627
ZNF395	HTT	5.14085391725975
ZNF395	SLC5A5	5.07746432590463
ZNF395	SAP30	5.04468856476364
ZNF395	SLC16A2	5.03998031008065
ZNF395	IFIT1	5.03682759111733
ZNF431	PTCH1	4.9245451865518
ZNF444	SCARF1	4.85711841474956
